# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.857251714503429,2.276044123516819,0.2796050630215952,0,1.0,2.4397253590271233,180.0,0.0,0.039881300834475275
 0.089089642362237,1.8612201494375666,2.2760634897479375,0.2796050630215952,0.089089642362237,1.0,2.4397253590271233,-179.99644698917172,15.025213382420876,0.288481466565321
 0.12603645752553816,1.8651938398090102,2.2761213863057566,0.8347388446510583,0.12603645752553816,1.0,2.4100514124069488,-179.9857885177485,19.349158983204966,0.6258160266426932
 0.15441899834553915,1.86917269808339,2.276217509986973,1.3839171393245622,0.15441899834553915,1.0,2.380144790181155,-179.9680262688265,22.67444006718745,1.0378735664628576
 0.17837492357489124,1.873156636726339,2.276351557588283,1.9271043301915298,0.17837492357489124,1.0,2.3500417774776805,-179.9431630472708,25.41999852299496,1.5124381530767153
 0.19950654335950224,1.8771455682034874,2.2765232259063835,2.4642700739048324,0.19950654335950224,1.0,2.319777418736671,-179.91120277927223,27.765251132203943,2.041530987665933
 0.21863545581811408,1.8811394049804675,2.2767322117379707,2.995389132204135,0.21863545581811408,1.0,2.28938548190455,-179.87215051172763,29.80848401376976,2.6193722698945643
 0.23624963796974346,1.8851380595229104,2.276978211879742,3.520441199286608,0.23624963796974344,0.9999999999999984,2.258898430403901,-179.82601241144278,31.61106451494765,3.241490655643351
 0.2526669758360811,1.8891414442964476,2.2772609231283925,4.0394107257431004,0.2526669758360811,1.0000000000000018,2.2283474021365492,-179.7727957641585,33.214657458936394,3.904267402556845
 0.2681082314013715,1.8931494717667108,2.27758004228062,4.552286740080117,0.2681082314013715,1.0,2.1977621945950063,-179.7125089734004,34.64927336797831,4.60467602562303
 0.2827341060284055,1.8971620543993315,2.27793526613312,5.059062668277995,0.2827341060284055,1.0,2.1671712582194727,-179.64516155915152,35.937507826562744,5.340121515324173
 0.2966658869043084,1.9011791046599409,2.2783262914825895,5.559736152543713,0.2966658869043084,1.0,2.1366016933001872,-179.57076415634933,37.09697312106353,6.108335055374604
 0.30999777561129005,1.9052005350141707,2.2787528151257255,6.0543088695596206,0.30999777561129,0.9999999999999958,2.106079254160831,-179.48932851320612,38.141785637457204,6.9073018719437975
 0.32280466106266237,1.9092262579276524,2.279214533859223,6.542786349129333,0.3228046610626623,1.0,2.075628358164072,-179.40086748935408,39.08352272289809,7.7352099529023555
 0.3351472394957213,1.9132561858660173,2.2797111444797804,7.025177793776943,0.3351472394957212,1.0,2.0452720976362504,-179.3053950538142,39.93186379233098,8.590412494159795
 0.34707551082063187,1.9172902312948972,2.280242343784093,7.501495899601241,0.3470755108206318,1.0,2.0150322587096112,-179.20292628279097,40.69503458826873,9.471399702093745
 0.3586312395346959,1.9213283066799234,2.2808078285688578,7.971756679312726,0.3586312395346958,0.9999999999999952,1.9849293413015627,-179.0934773572911,41.38012379897095,10.376777165029624
 0.36984973202721116,1.925370324486727,2.281407295630771,8.435979287490834,0.3698497320272111,1.0000000000000049,1.9549825840741457,-178.97706556056872,41.993314245501985,11.305248955283918
 0.38076114898588787,1.9294161971809405,2.2820404417665294,8.894185848700245,0.38076114898588787,1.000000000000005,1.9252099916081857,-178.85370927539597,42.54005523151954,12.255604212315214
 0.391391493437181,1.9334658372281943,2.2827069637728292,9.346401288788332,0.391391493437181,1.0,1.8956283641706042,-178.72342798116034,43.02519339031428,13.226706336358838
 0.40176336734768314,1.9375191570941208,2.2834065584463676,9.792653169607641,0.40176336734768314,1.0,1.866253329710495,-178.5862422507884,43.45307365015461,14.217484172193972
 0.4118965597990474,1.9415760692443507,2.2841389225838404,10.232971527507962,0.41189655979904743,1.0000000000000056,1.8370993779801033,-178.44217374749732,43.827618275322315,15.226924732556848
 0.4218085104242931,1.945636486144516,2.2849037529819443,10.667388715875074,0.42180851042429324,1.0000000000000056,1.8081798957169362,-178.29124522137388,44.152389541829116,16.254067128144875
 0.4315146790003292,1.9497003202602479,2.285700746437376,11.09593925180288,0.4315146790003293,1.0,1.7795072031912194,-178.1334805057819,44.43064004201199,17.29799745441598
 0.4410288434356451,1.9537674840571781,2.2865295997468316,11.518659667128913,0.44102884343564525,1.0000000000000058,1.7510925921304692,-177.96890451359891,44.66535351280984,18.357844445228743
 0.45036334241935155,1.9578378900009383,2.2873900097070083,11.935588364101125,0.4503633424193517,1.0,1.7229463632776298,-177.79754323328189,44.85927826366897,19.432775746852343
 0.4595292748027999,1.9619114505571593,2.288281673114602,12.346765475436213,0.4595292748028001,1.0,1.6950778661093973,-177.61942372476352,45.01495487955607,20.521994698541363
 0.4685366647909545,1.9659880781914731,2.2892042867663096,12.752232729335555,0.4685366647909547,1.0,1.6674955363587665,-177.43457411517892,45.13473929492989,21.624737529929057
 0.4773945998521088,1.9700676853695112,2.2901575474588274,13.152033319012174,0.47739459985210897,1.0,1.6402069367003076,-177.2430235944243,45.22082225734374,22.740270904237747
 0.48611134666271205,1.974150184556905,2.2911411519888523,13.54621177719673,0.4861113466627122,1.0,1.6132187937107532,-177.04480241054753,45.27524580313552,23.867889750315005
 0.4946944492209732,1.9782354882192859,2.29215479715308,13.934813855275527,0.4946944492209734,1.0,1.586537037960707,-176.8399418649713,45.29991737155551,25.006915337430613
 0.5031508123736154,1.982323508822285,2.2931981797482077,14.317886407354083,0.5031508123736156,1.0000000000000067,1.5601668412463332,-176.62847430755062,45.296621926584464,26.15669355576697
